#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20231204   10:08:03      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 20231204   10:08:05      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     2
 20231204   10:08:05      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     4
 20231204   10:08:06      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:08:06      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     3
#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20231204   10:08:07      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:08:07      1    10    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 20231204   10:08:09      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:08:09      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 20231204   10:08:10      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     3    21
 20231204   10:08:10      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:08:11      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     8    17
 20231204   10:08:11      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:08:12      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204   10:08:12      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     0
 20231204   10:08:14      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     7    18
 20231204   10:08:14      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:08:15      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    36     0
 20231204   10:08:15      1    10    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 20231204   10:08:16      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0    21
 20231204   10:08:16      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:08:17      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204   10:08:17      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     3
 20231204   10:08:19      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204   10:08:19      1    10    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:08:20      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    39     0
 20231204   10:08:20      1    10    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:08:21      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    37     0
 20231204   10:08:21      1    10    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:08:22      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    37     0
 20231204   10:08:22      1    13    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:08:24      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    36     0
 20231204   10:08:24      1    10    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     0
 20231204   10:08:25      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    36     0
 20231204   10:08:25      1    10    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 20231204   10:08:26      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     4
 20231204   10:08:26      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
